image,high,medium,medium-low,low,high_clip,high_ssim,mc_clip,mc_ssim
/68-scenes/bridge-68/c_792086.jpg,0.8491020987314388,0.5582231387678147,0,0,0.8728497624397278,0.7936908834120981,0.7066758275032043,0.21183353171857236
/68-scenes/bridge-68/c_792087.jpg,0.8468036213907124,0.6469273610085534,0,0,0.8671243190765381,0.7993886601237861,0.7597464323043823,0.383682861318286
/68-scenes/bridge-68/FreeFoto_bridge_2_1.jpg,0.8498503933329136,0.5743159081308539,0,0,0.8390948176383972,0.8749467366201185,0.6541553735733032,0.38802382209847225
/68-scenes/bridge-68/FreeFoto_bridge_2_48.jpg,0.9141412412838159,0.631061253442571,0,0,0.922583818435669,0.894441894596159,0.7376253604888916,0.38241167033448975
/68-scenes/bridge-68/FreeFoto_bridge_2_50.jpg,0.8993916625585714,0.7156047376142565,0,0,0.8916776180267334,0.9173910997995265,0.7585482001304626,0.6154033250764425
/68-scenes/bridge-68/FreeFoto_bridge_2_8.jpg,0.9108851333208695,0.6074246472872653,0,0,0.9102299809455872,0.9124138221965282,0.6778054237365723,0.4432028355722155
/68-scenes/bridge-68/FreeFoto_bridge_3_49.jpg,0.8664764520288373,0.6643639706271687,0,0,0.8811780214309692,0.8321727900905296,0.7536821961402893,0.45595477776322085
/68-scenes/bridge-68/FreeFoto_river_1_46.jpg,0.8877284494950035,0.6153886018656675,0,0,0.8855823874473572,0.8927359276061783,0.6877130270004272,0.4466316098845614
/68-scenes/bridge-68/gallerybridge.jpg,0.912617968628201,0.6179351637856784,0,0,0.9172297120094299,0.9018572340720002,0.783638596534729,0.2312938207045603
/68-scenes/bridge-68/GanterBridge.jpg,0.854187730129203,0.5659682068036572,0,0,0.880551815032959,0.792671532020439,0.7312220931053162,0.18037580543311987
/68-scenes/bridge-68/littlebeltbridge01.jpg,0.9072027047932743,0.7032991706078833,0,0,0.9230658411979675,0.8701887198489897,0.8289794921875,0.41004508692211095
/68-scenes/bridge-68/l_792073.jpg,0.8598325486698604,0.62379296784366,0,0,0.8698858022689819,0.8363749569385767,0.7450515627861023,0.3408562463112948
/68-scenes/bridge-68/maxwellbridge.jpg,0.8561079004542285,0.6695101898379165,0,0,0.8734147548675537,0.8157252401564693,0.8166696429252625,0.3261381326341094
/68-scenes/bridge-68/maysvillebridge.jpg,0.868557974629484,0.5095800937530587,0,0,0.8795760869979858,0.8428490457696465,0.5963586568832397,0.30709677978263616
/68-scenes/bridge-68/menai.jpg,0.8688666675957584,0.5907706796757142,0,0,0.870604932308197,0.8648107166000683,0.709895133972168,0.3128136196506554
/68-scenes/bridge-68/normandybridge.jpg,0.8234112784858292,0.5840938400094787,0,0,0.8368350863456726,0.7920890601461944,0.6931155323982239,0.32970989110240684
/68-scenes/bridge-68/pingdingbridge.jpg,0.8548269790359462,0.6323354516536086,0,0,0.8725967407226562,0.8133642017669561,0.761388897895813,0.33121074375513176
/68-scenes/bridge-68/rainbowarchbridge01.jpg,0.8958074987339109,0.6700715315203492,0,0,0.9432477951049805,0.785113473868082,0.7504922747612,0.48242313062503084
/68-scenes/bridge-68/r_791004.jpg,0.9009553360842606,0.6937519656612154,0,0,0.9158441424369812,0.8662147879279124,0.7730154395103455,0.5088038600132454
/68-scenes/bridge-68/r_792031.jpg,0.8870796755975947,0.6576798955803838,0,0,0.9097551107406616,0.8341703269304385,0.8081274628639221,0.3066355719187946
/68-scenes/bridge-68/stjohnsbridge.jpg,0.8978454474626634,0.6454893497467945,0,0,0.9144056439399719,0.8592049890156104,0.6756473779678345,0.5751206172310347
/68-scenes/bridge-68/storaebeltbridge.jpg,0.9149598040950278,0.638651900602643,0,0,0.9250938892364502,0.8913136054317088,0.7765703797340393,0.31684211596271844
/68-scenes/bridge-68/suspensionbridge01.jpg,0.896117201490377,0.6788067094343748,0,0,0.9173834919929504,0.8464958569843724,0.8162086606025696,0.3582021567085871
/68-scenes/bridge-68/tobinbridge.jpg,0.9047209447204057,0.6675979152553202,0,0,0.9162646532058716,0.8777856249209852,0.7390668392181396,0.5008370926754081
/68-scenes/bridge-68/t_791028.jpg,0.8785859423326688,0.6399715177519686,0,0,0.8963495492935181,0.8371375260906871,0.7839697599411011,0.3039756193106594
/68-scenes/bridge-68/t_791075.jpg,0.8856368860095531,0.5750490710328532,0,0,0.902206540107727,0.8469743597804807,0.6886366009712219,0.31001150117665954
/68-scenes/bridge-68/t_791077.jpg,0.7979673748596517,0.4984215844355581,0,0,0.8066644072532654,0.7776742992745533,0.606704592704773,0.24576123180739012
/68-scenes/bridge-68/t_791080.jpg,0.8204520335530098,0.6118367454725818,0,0,0.8301776647567749,0.7977588940775576,0.6880738139152527,0.43395025243968316
/68-scenes/bridge-68/t_791086.jpg,0.8938777771551515,0.7246747948468157,0,0,0.9281471967697144,0.8139157980545048,0.8182094097137451,0.5064273601573138
/68-scenes/bridge-68/t_792045.jpg,0.8647261717554023,0.5726448088664602,0,0,0.8822259306907654,0.8238934009062217,0.6605829000473022,0.3674559294444954
/68-scenes/bridge-68/t_792061.jpg,0.803393265441821,0.6274525566823898,0,0,0.8286237716674805,0.7445220842486157,0.7434453368186951,0.35680273636434395
/68-scenes/bridge-68/t_792080.jpg,0.8834839368021403,0.649616101827707,0,0,0.9058199524879456,0.831366566868595,0.8021214604377747,0.2937702650708826
/68-scenes/bridge-68/t_792083.jpg,0.8649059914329271,0.6969226735849458,0,0,0.8761624693870544,0.8386408762066304,0.772286593914032,0.5210735261504112
/68-scenes/bridge-68/t_792098.jpg,0.8734755337749068,0.5788253221828624,0,0,0.8782931566238403,0.8622344137940621,0.728481650352478,0.22962722312042633
